,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_winners,frame_1_wins,frame_2_wins,frame_3_wins,frame_4_wins,frame_5_wins,frame_6_wins,frame_7_wins,frame_8_wins,horse_1_wins,horse_2_wins,horse_3_wins,horse_4_wins,horse_5_wins,horse_6_wins,horse_7_wins,horse_8_wins,horse_9_wins,horse_10_wins,horse_11_wins,horse_12_wins,horse_13_wins,horse_14_wins,horse_15_wins,horse_16_wins,horse_17_wins,horse_18_wins
0,芝,1200,全,all,4.46,7.23,156,21,22,20,17,19,15,23,19,12,15,13,13,9,14,12,11,11,14,3,8,5,4,2,6,3,1
1,芝,1200,良,all,4.33,7.07,118,15,19,15,15,15,7,18,14,10,10,11,12,6,10,10,7,7,12,1,7,4,2,2,3,3,1
2,芝,1200,稍重,all,3.94,6.28,12,3,0,4,0,1,3,0,1,2,1,1,0,3,2,0,0,0,0,1,1,0,0,0,1,0,0
3,芝,1200,重,all,5.07,8.32,18,3,2,1,1,3,1,3,4,0,4,0,1,0,1,2,3,3,1,0,0,0,1,0,2,0,0
4,芝,1200,不良,all,5.33,8.92,8,0,1,0,1,0,4,2,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0
5,芝,1200,全,未勝利,4.45,7.49,32,6,2,6,3,1,4,4,6,3,3,1,2,3,4,1,1,3,3,1,3,0,0,1,2,0,1
6,芝,1200,良,未勝利,4.47,7.9,23,5,1,2,3,1,3,4,4,3,2,0,1,1,2,1,1,2,3,1,3,0,0,1,1,0,1
7,芝,1200,稍重,未勝利,4.6,7.0,5,0,0,3,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
8,芝,1200,重,未勝利,3.17,5.17,4,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9,芝,1200,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1200,全,新馬,5.64,6.71,11,1,1,2,1,0,1,3,2,1,1,2,1,0,1,1,1,0,2,0,1,0,0,0,0,0,0
11,芝,1200,良,新馬,4.67,5.92,8,1,1,2,1,0,0,2,1,1,1,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
12,芝,1200,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1200,重,新馬,7.5,7.5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,6.0,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,4.2,6.95,35,2,6,3,8,7,3,4,2,2,0,5,5,3,0,2,6,5,2,1,0,0,2,0,2,0,0
16,芝,1200,良,1勝クラス,3.94,6.32,25,1,5,3,6,5,1,3,1,1,0,4,5,3,0,1,4,4,1,0,0,0,1,0,1,0,0
17,芝,1200,稍重,1勝クラス,3.5,6.0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,芝,1200,重,1勝クラス,5.17,9.33,4,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
19,芝,1200,不良,1勝クラス,4.75,8.75,4,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
20,芝,1200,全,2勝クラス,4.1,6.43,25,4,4,4,0,5,2,3,3,2,5,1,1,1,4,1,1,1,3,0,2,1,1,1,0,0,0
21,芝,1200,良,2勝クラス,3.99,6.32,20,3,3,4,0,4,1,2,3,1,4,1,1,1,4,1,1,0,2,0,1,1,1,1,0,0,0
22,芝,1200,稍重,2勝クラス,3.5,6.5,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,芝,1200,重,2勝クラス,4.67,7.0,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
24,芝,1200,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1200,全,3勝クラス,4.0,6.58,16,2,3,4,1,1,1,2,2,1,1,0,3,0,4,2,0,0,1,1,1,1,0,0,0,1,0
26,芝,1200,良,3勝クラス,4.43,7.09,13,1,3,3,1,1,0,2,2,1,0,0,3,0,3,2,0,0,1,0,1,1,0,0,0,1,0
27,芝,1200,稍重,3勝クラス,2.0,4.0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,芝,1200,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1200,不良,3勝クラス,6.0,11.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,芝,1200,全,オープン,4.72,7.96,32,5,5,1,4,3,3,7,4,2,5,3,1,2,0,5,2,1,3,0,0,3,1,0,2,2,0
31,芝,1200,良,オープン,4.29,7.14,24,3,5,1,4,2,1,5,3,2,3,3,1,1,0,5,1,0,3,0,0,2,0,0,1,2,0
32,芝,1200,稍重,オープン,5.0,5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,芝,1200,重,オープン,4.88,9.25,5,2,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
34,芝,1200,不良,オープン,6.5,11.0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
35,芝,1400,全,all,4.52,7.2,215,23,19,38,34,23,26,32,20,17,15,15,22,16,29,21,10,9,14,5,7,6,11,11,3,2,2
36,芝,1400,良,all,4.48,7.17,166,20,16,29,23,19,20,23,16,15,13,9,18,13,21,15,9,7,9,4,6,4,11,7,3,1,1
37,芝,1400,稍重,all,4.72,6.9,21,2,2,4,3,1,3,5,1,2,1,3,1,0,3,3,0,1,2,1,1,1,0,2,0,0,0
38,芝,1400,重,all,4.92,8.04,21,0,0,5,6,3,1,4,2,0,0,2,2,3,4,2,1,1,2,0,0,1,0,2,0,1,0
39,芝,1400,不良,all,4.67,6.71,7,1,1,0,2,0,2,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
40,芝,1400,全,未勝利,4.61,8.1,60,4,5,11,12,7,7,11,3,2,2,3,7,5,8,9,1,2,2,3,5,1,6,2,1,0,1
41,芝,1400,良,未勝利,4.71,8.47,43,3,3,9,7,5,6,8,2,2,1,1,5,4,5,6,1,2,0,3,5,1,6,0,1,0,0
42,芝,1400,稍重,未勝利,5.5,9.83,4,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
43,芝,1400,重,未勝利,4.79,8.21,7,0,0,1,3,2,0,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0
44,芝,1400,不良,未勝利,4.38,6.25,6,1,1,0,2,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
45,芝,1400,全,新馬,4.65,5.82,30,2,6,4,4,1,3,6,4,1,4,5,4,3,1,2,4,0,3,0,1,1,0,1,0,0,0
46,芝,1400,良,新馬,4.15,5.19,23,2,6,2,3,0,3,4,3,1,4,3,4,1,1,1,4,0,2,0,1,1,0,0,0,0,0
47,芝,1400,稍重,新馬,7.0,7.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,芝,1400,重,新馬,5.12,7.38,6,0,0,2,1,1,0,1,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
49,芝,1400,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,芝,1400,全,1勝クラス,4.48,8.11,47,6,4,10,4,5,5,9,4,3,5,2,1,3,7,4,1,2,6,1,1,1,4,4,0,2,0
